,taster_name,taster_twitter_handle,points
0,Kerin O’Keefe,@kerinokeefe,87
1,Roger Voss,@vossroger,87
2,Paul Gregutt,@paulgwine ,87
3,Alexander Peartree,,87
4,Paul Gregutt,@paulgwine ,87
5,Michael Schachner,@wineschach,87
6,Kerin O’Keefe,@kerinokeefe,87
7,Roger Voss,@vossroger,87
8,Anna Lee C. Iijima,,87
9,Roger Voss,@vossroger,87
10,Virginie Boone,@vboone,87
11,Roger Voss,@vossroger,87
12,Virginie Boone,@vboone,87
13,Kerin O’Keefe,@kerinokeefe,87
14,Matt Kettmann,@mattkettmann,87
15,Anna Lee C. Iijima,,87
16,Michael Schachner,@wineschach,87
17,Michael Schachner,@wineschach,87
18,Michael Schachner,@wineschach,87
19,Alexander Peartree,,87
20,Alexander Peartree,,87
21,Paul Gregutt,@paulgwine ,87
22,Kerin O’Keefe,@kerinokeefe,87
23,Matt Kettmann,@mattkettmann,87
24,Kerin O’Keefe,@kerinokeefe,87
25,Virginie Boone,@vboone,87
26,Kerin O’Keefe,@kerinokeefe,87
27,Kerin O’Keefe,@kerinokeefe,87
28,Kerin O’Keefe,@kerinokeefe,87
29,Virginie Boone,@vboone,86
30,Roger Voss,@vossroger,86
31,,,86
32,,,86
33,,,86
34,,,86
35,Paul Gregutt,@paulgwine ,86
36,Michael Schachner,@wineschach,86
37,,,86
38,,,86
39,,,86
40,,,86
41,Paul Gregutt,@paulgwine ,86
42,Roger Voss,@vossroger,86
43,,,86
44,Michael Schachner,@wineschach,86
45,,,86
46,,,86
47,,,86
48,,,86
49,Roger Voss,@vossroger,86
50,,,86
51,Michael Schachner,@wineschach,85
52,,,85
53,Roger Voss,@vossroger,85
54,,,85
55,,,85
56,Virginie Boone,@vboone,85
57,,,85
58,Michael Schachner,@wineschach,85
59,Sean P. Sullivan,@wawinereport,86
60,Virginie Boone,@vboone,86
61,Kerin O’Keefe,@kerinokeefe,86
62,Sean P. Sullivan,@wawinereport,86
63,Roger Voss,@vossroger,86
64,Matt Kettmann,@mattkettmann,86
65,Roger Voss,@vossroger,86
66,Roger Voss,@vossroger,86
67,Sean P. Sullivan,@wawinereport,86
68,Jim Gordon,@gordone_cellars,86
69,Roger Voss,@vossroger,86
70,Sean P. Sullivan,@wawinereport,86
71,Virginie Boone,@vboone,86
72,Kerin O’Keefe,@kerinokeefe,86
73,Virginie Boone,@vboone,86
74,Virginie Boone,@vboone,86
75,Virginie Boone,@vboone,86
76,Anna Lee C. Iijima,,86
77,Joe Czerwinski,@JoeCz,86
78,Paul Gregutt,@paulgwine ,86
79,Roger Voss,@vossroger,86
80,Michael Schachner,@wineschach,86
81,Michael Schachner,@wineschach,86
82,Roger Voss,@vossroger,86
83,Joe Czerwinski,@JoeCz,86
84,Virginie Boone,@vboone,86
85,Anna Lee C. Iijima,,86
86,Sean P. Sullivan,@wawinereport,86
87,Virginie Boone,@vboone,86
88,Kerin O’Keefe,@kerinokeefe,86
89,Kerin O’Keefe,@kerinokeefe,88
90,Virginie Boone,@vboone,88
91,Virginie Boone,@vboone,88
92,Virginie Boone,@vboone,88
93,Anne Krebiehl MW,@AnneInVino,88
94,Sean P. Sullivan,@wawinereport,88
95,Roger Voss,@vossroger,88
96,Roger Voss,@vossroger,88
97,Anna Lee C. Iijima,,88
98,Kerin O’Keefe,@kerinokeefe,88
99,Virginie Boone,@vboone,88
100,Anna Lee C. Iijima,,88
101,Anna Lee C. Iijima,,87
102,Anna Lee C. Iijima,,87
103,Michael Schachner,@wineschach,87
104,Kerin O’Keefe,@kerinokeefe,87
105,Kerin O’Keefe,@kerinokeefe,87
106,Kerin O’Keefe,@kerinokeefe,87
107,Kerin O’Keefe,@kerinokeefe,87
108,Matt Kettmann,@mattkettmann,87
109,Kerin O’Keefe,@kerinokeefe,87
